"Date","Home","HG","HxGtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","HxGpPlayer xGoals","Away","AG","AxGtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","AxGpPlayer xGoals","GDGoal Difference (Own goals excluded.)","xGDtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","xGDpPlayer xGoals","FinalFinal Score (Own goals included.)","HxPtsExpected points earned, given the same sample of shots over 1,000 simulations.","AxPtsExpected points earned, given the same sample of shots over 1,000 simulations."
"2018-10-28","TOR","4","1.0035","1.0035","ATL","1","2.0538","2.0734","3","-1.0503","-1.0699","3","0.683","2.096"
"2018-10-28","LAG","2","2.2815","2.2815","HOU","3","2.6167","2.6724","-1","-0.3353","-0.3909","-1","1.204","1.585"
"2018-10-28","NYC","2","1.6533","1.7808","PHI","1","1.9233","1.9239","1","-0.27","-0.1431","2","1.139","1.601"
"2018-10-28","NYRB","1","1.9501","1.9501","ORL","0","0.6792","0.6818","1","1.271","1.2683","1","2.338","0.433"
"2018-10-28","COL","2","0.764","0.7649","FCD","1","1.8995","1.9903","1","-1.1355","-1.2254","1","0.463","2.32"
"2018-10-28","SEA","2","2.2292","2.2526","SJE","0","0.5687","0.5708","2","1.6605","1.6818","1","2.551","0.325"
"2018-10-28","SKC","2","0.8388","0.8523","LAFC","1","1.6162","1.9618","1","-0.7774","-1.1095","1","0.741","1.995"
"2018-10-28","NER","1","0.7327","0.7327","MTL","0","1.0452","1.0452","1","-0.3125","-0.3125","1","1.08","1.602"
"2018-10-28","CHI","0","0.4863","0.4863","DCU","0","1.2085","1.2255","0","-0.7223","-0.7392","0","0.722","1.97"
"2018-10-28","VAN","2","1.8385","1.8385","POR","1","1.0632","1.0771","1","0.7753","0.7614","1","1.992","0.765"
"2018-10-28","CLB","3","2.3664","2.3923","MIN","2","1.7344","1.7344","1","0.632","0.6579","1","1.805","0.929"
"2018-10-21","LAFC","2","2.0122","2.035","VAN","2","1.487","1.487","0","0.5252","0.5481","0","1.677","1.083"
"2018-10-21","PHI","0","0.6917","0.6936","NYRB","1","1.463","1.463","-1","-0.7714","-0.7695","-1","0.661","2.071"
"2018-10-21","HOU","2","1.3658","1.3696","SEA","3","0.9066","0.9091","-1","0.4592","0.4605","-1","1.729","0.973"
"2018-10-21","SJE","0","1.6988","1.7026","COL","0","0.4562","0.4562","0","1.2427","1.2464","0","2.247","0.516"
"2018-10-21","ATL","1","0.7138","0.7138","CHI","1","0.6295","0.6295","0","0.0844","0.0844","1","1.358","1.253"
"2018-10-21","MIN","1","1.471","1.471","LAG","3","1.1185","1.1829","-2","0.3526","0.2882","-2","1.63","1.105"
"2018-10-21","MTL","2","1.6377","1.6377","TOR","0","0.6204","0.6204","2","1.0173","1.0173","2","2.252","0.53"
"2018-10-21","ORL","2","2.1915","2.1915","CLB","1","1.1164","1.1164","1","1.0751","1.0751","1","2.246","0.56"
"2018-10-21","DCU","3","2.0286","2.0365","NYC","1","0.9016","0.9099","2","1.127","1.1265","2","2.321","0.497"
"2018-10-21","POR","3","2.1653","2.1653","RSL","0","0.8782","0.8782","3","1.2871","1.2871","3","2.277","0.537"
"2018-10-21","FCD","0","1.721","1.721","SKC","3","2.8352","2.86","-3","-1.1142","-1.139","-3","0.703","2.089"
"2018-10-18","RSL","4","2.4364","2.4797","NER","1","1.4119","1.4146","3","1.0245","1.0651","3","2.141","0.656"
"2018-10-17","VAN","1","0.7097","0.7097","SKC","4","2.3083","2.3095","-3","-1.5986","-1.5998","-3","0.359","2.492"
"2018-10-17","DCU","1","0.6764","0.689","TOR","0","0.7322","0.7322","1","-0.0557","-0.0432","1","1.233","1.413"
"2018-10-17","ORL","1","1.1253","1.1253","SEA","2","1.0596","1.0596","-1","0.0658","0.0658","-1","1.349","1.331"
"2018-10-13","MIN","0","1.1457","1.1457","COL","2","1.2924","1.65","-2","-0.1467","-0.5044","-2","1.207","1.51"
"2018-10-13","NER","2","2.2237","2.2788","ORL","0","0.5278","0.5285","2","1.6959","1.7503","2","2.504","0.35"
"2018-10-13","DCU","1","1.5627","1.6347","FCD","0","0.9002","0.9051","1","0.6625","0.7296","1","1.853","0.896"
"2018-10-12","LAFC","4","2.6945","2.7182","HOU","2","0.8782","0.8783","2","1.8163","1.8398","2","2.57","0.293"
"2018-10-08","SEA","4","1.4162","1.4162","HOU","1","1.3894","1.5807","3","0.0268","-0.1645","3","1.409","1.316"
"2018-10-07","DCU","2","2.4487","2.7761","CHI","1","1.0918","1.094","1","1.3569","1.6821","1","2.379","0.447"
"2018-10-06","SJE","1","0.9508","0.9537","NYRB","3","2.2707","2.2963","-2","-1.3199","-1.3426","-2","0.477","2.367"
"2018-10-06","COL","0","0.5567","0.5567","LAFC","3","1.8761","1.8761","-3","-1.3194","-1.3194","-3","0.45","2.349"
"2018-10-06","PHI","5","1.7707","1.7707","MIN","1","1.6063","1.6904","4","0.1644","0.0803","4","1.404","1.344"
"2018-10-06","ATL","2","1.7552","1.7552","NER","1","1.1466","1.1466","1","0.6086","0.6086","1","1.755","0.966"
"2018-10-06","RSL","1","0.94","0.94","POR","4","2.3725","2.3742","-3","-1.4325","-1.4342","-3","0.416","2.42"
"2018-10-06","MTL","3","1.6117","1.6136","CLB","0","1.8431","1.8801","3","-0.2313","-0.2665","3","1.201","1.549"
"2018-10-06","SKC","1","2.7019","2.8457","LAG","1","1.1958","1.1958","0","1.5061","1.6499","0","2.311","0.532"
"2018-10-06","TOR","1","1.94","1.9615","VAN","2","1.0583","1.0603","-1","0.8818","0.9011","-1","2.01","0.75"
"2018-10-06","FCD","2","0.8174","0.8174","ORL","0","0.4951","0.4951","2","0.3223","0.3223","2","1.637","0.968"
"2018-09-30","SKC","1","1.9198","1.9198","RSL","1","0.7086","0.7086","0","1.2112","1.2112","0","2.255","0.533"
"2018-09-30","NYRB","2","2.8634","3.0016","ATL","0","1.2934","1.2934","2","1.57","1.7082","2","2.452","0.4"
"2018-09-29","DCU","5","1.2902","1.2902","MTL","0","1.979","1.9826","5","-0.6888","-0.6924","5","0.922","1.831"
"2018-09-29","LAG","3","2.1306","2.1306","VAN","0","1.0955","1.0955","3","1.0351","1.0351","3","2.18","0.599"
"2018-09-29","TOR","4","2.9934","3.1446","NER","1","0.5211","0.5211","3","2.4724","2.6236","3","2.821","0.115"
"2018-09-29","HOU","3","2.2736","2.3105","SJE","1","1.0005","1.0005","2","1.2732","1.31","1","2.315","0.473"
"2018-09-29","SEA","4","2.5774","2.6179","COL","0","0.2296","0.2296","4","2.3478","2.3883","4","2.837","0.095"
"2018-09-29","MIN","2","1.4199","1.4199","NYC","1","1.5517","1.7204","1","-0.1319","-0.3006","1","1.305","1.413"
"2018-09-29","CHI","3","1.0747","1.0777","LAFC","1","1.6432","1.6637","2","-0.5685","-0.586","2","0.908","1.808"
"2018-09-29","CLB","0","0.9577","0.9617","PHI","0","0.953","0.9609","0","0.0047","0.0009","0","1.35","1.332"
"2018-09-29","POR","0","0.6195","0.6195","FCD","0","0.3796","0.3828","0","0.2399","0.2367","0","1.603","0.958"
"2018-09-26","NYC","2","2.0688","2.0688","CHI","0","0.389","0.389","2","1.6798","1.6798","2","2.579","0.272"
"2018-09-23","LAG","3","2.5781","2.5824","SEA","0","1.0591","1.0664","3","1.519","1.5159","3","2.492","0.359"
"2018-09-23","VAN","1","1.1621","1.1642","FCD","2","1.929","1.9433","-1","-0.767","-0.7791","-1","0.742","2.044"
"2018-09-23","PHI","2","1.2166","1.2309","SKC","0","1.2401","1.2401","2","-0.0235","-0.0092","2","1.353","1.35"
"2018-09-22","ORL","0","0.8892","0.8892","HOU","0","0.769","0.7699","0","0.1202","0.1193","0","1.446","1.209"
"2018-09-22","CLB","2","2.7139","2.7139","COL","1","0.1208","0.1208","1","2.5932","2.5932","1","2.868","0.078"
"2018-09-22","MIN","3","2.0168","2.0204","POR","2","0.9809","0.9809","1","1.0359","1.0395","1","2.176","0.613"
"2018-09-22","NYRB","2","0.9999","0.9999","TOR","0","1.2056","1.2056","2","-0.2057","-0.2057","2","1.182","1.527"
"2018-09-22","LAFC","2","1.6986","1.6986","SJE","0","0.302","0.302","2","1.3966","1.3966","2","2.494","0.328"
"2018-09-22","ATL","2","1.346","1.4079","RSL","0","0.3023","0.3023","2","1.0437","1.1056","2","2.266","0.478"
"2018-09-22","MTL","1","1.3005","1.3102","NYC","0","0.246","0.246","1","1.0546","1.0642","0","2.272","0.457"
"2018-09-22","NER","2","1.8618","1.8751","CHI","1","0.6572","0.6577","1","1.2046","1.2173","0","2.284","0.508"
"2018-09-19","POR","2","1.3302","1.3383","CLB","2","1.5851","1.5889","0","-0.2549","-0.2506","1","1.128","1.587"
"2018-09-19","SJE","3","1.0402","1.108","ATL","4","2.3317","2.3317","-1","-1.2914","-1.2237","-1","0.495","2.301"
"2018-09-19","SEA","0","1.3918","1.3918","PHI","1","0.9345","0.9345","-1","0.4573","0.4573","-1","1.736","0.983"
"2018-09-16","CHI","4","2.3314","2.3314","ORL","0","1.532","1.5357","4","0.7994","0.7957","4","2.029","0.76"
"2018-09-16","DCU","3","1.6163","1.63","NYRB","3","1.8238","1.8559","0","-0.2075","-0.2259","0","1.224","1.542"
"2018-09-15","RSL","1","0.8592","0.862","MIN","1","0.9753","0.9753","0","-0.1161","-0.1133","0","1.157","1.526"
"2018-09-15","COL","0","1.2704","1.2714","ATL","3","1.7165","1.7165","-3","-0.4461","-0.4452","-3","1.032","1.695"
"2018-09-15","VAN","1","2.5697","2.5702","SEA","2","1.1616","1.1616","-1","1.4081","1.4086","-1","2.334","0.465"
