"Date","Home","HG","HxGtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","HxGpPlayer xGoals","Away","AG","AxGtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","AxGpPlayer xGoals","GDGoal Difference (Own goals excluded.)","xGDtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","xGDpPlayer xGoals","FinalFinal Score (Own goals included.)","HxPtsExpected points earned, given the same sample of shots over 1,000 simulations.","AxPtsExpected points earned, given the same sample of shots over 1,000 simulations."
"2019-03-02","FCD","1","0.792","0.792","NER","1","0.6482","0.6482","0","0.1439","0.1439","0","1.433","1.193"
"2019-03-02","LAG","2","2.1988","2.2065","CHI","1","1.494","1.494","1","0.7048","0.7124","1","1.868","0.929"
"2019-03-02","HOU","1","0.5628","0.5689","RSL","1","0.7999","0.7999","0","-0.2371","-0.231","0","1.046","1.568"
"2019-03-02","VAN","2","0.8368","0.8368","MIN","3","2.1423","2.1423","-1","-1.3055","-1.3055","-1","0.462","2.367"
"2019-03-02","PHI","1","2.849","3.1945","TOR","3","1.7102","1.7836","-2","1.1388","1.4109","-2","2.212","0.589"
"2019-03-02","ORL","2","1.6607","1.6946","NYC","2","1.0222","1.0222","0","0.6385","0.6724","0","1.878","0.864"
"2019-03-02","CLB","1","1.6359","1.6362","NYRB","1","0.8878","0.8904","0","0.7481","0.7458","0","1.905","0.831"
"2019-03-02","COL","3","2.0122","2.179","POR","2","3.7684","3.857","1","-1.7562","-1.678","0","0.519","2.343"
"2019-03-02","SJE","1","0.8294","0.8294","MTL","2","1.1573","1.1573","-1","-0.3278","-0.3278","-1","1.173","1.542"
"2019-03-02","SEA","4","2.555","2.5897","CIN","1","0.5173","0.5173","3","2.0376","2.0723","3","2.639","0.254"
"2019-03-03","DCU","2","2.0577","2.1614","ATL","0","0.3129","0.3129","2","1.7448","1.8484","2","2.613","0.243"
"2019-03-03","LAFC","2","1.1182","1.1182","SKC","1","1.1536","1.1658","1","-0.0354","-0.0475","1","1.334","1.361"
"2019-03-09","FCD","2","1.7426","1.7738","LAG","0","1.4688","1.4688","2","0.2739","0.305","2","1.644","1.071"
"2019-03-09","SEA","2","2.1536","2.2774","COL","0","1.0981","1.0981","2","1.0555","1.1793","2","2.07","0.714"
"2019-03-09","RSL","1","1.5033","1.5057","VAN","0","1.25","1.284","1","0.2534","0.2217","1","1.597","1.12"
"2019-03-09","CHI","1","0.8972","0.8972","ORL","1","0.1262","0.1262","0","0.7709","0.7709","0","2.212","0.445"
"2019-03-09","NER","0","1.3519","1.3519","CLB","2","1.1099","1.1099","-2","0.242","0.242","-2","1.462","1.201"
"2019-03-09","HOU","2","1.3987","1.4762","MTL","1","0.3615","0.3615","1","1.0372","1.1147","1","2.335","0.448"
"2019-03-09","SJE","0","1.1516","1.1516","MIN","2","1.8149","1.8462","-2","-0.6633","-0.6946","-3","0.865","1.876"
"2019-03-10","SKC","1","2.4252","2.5501","PHI","0","2.1587","2.2254","1","0.2665","0.3247","2","1.542","1.197"
"2019-03-10","ATL","1","0.8871","0.8907","CIN","1","0.5648","0.5648","0","0.3223","0.3259","0","1.58","1.037"
